Reporting number	Direction	Trigger	Arr	Dep	TPArr Tondu	TPDep Tondu	TPArr Bridgend	TPDep Bridgend	TPArr Cardiff Central	TPDep Cardiff Central	TPDep Ebbw Jn	TPArr Newport	TPDep Newport	TP1Arr Cross Keys	TP1Dep Cross Keys	TP1Arr Ebbw Vale Parkway	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday	Forms	Platform	Timing load	Disruption group	Notes	Remarks	Origin	Destination	Company	Special	Via	Calling pattern
2L41	Down		06:41		06:27	06:27	06:15	06:18	05:53	05:53							TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	2N05	1	150	Cardiff		Forms: {Forms}	Cardiff Central	Maesteg	Arriva Trains Wales			Terminates here
2N05	Up			06:44	06:57	06:58	07:05	07:07	07:34	07:36	07:48			08:08	08:08	08:30	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE		1	150			{Calling pattern}	Maesteg	Ebbw Vale Parkway	Arriva Trains Wales			Maesteg (Ewenny Road), Garth, Tondu, Sarn, Wildmill, Bridgend, Pencoed, Llanharan, Pontyclun, Cardiff Central, Rogerstone,  Risca & Pontymister, Cross Keys, Newbridge, Llanhilleth, Ebbw Vale Parkway
2N05	Up			06:46	06:59	07:00	07:08	07:09	07:35	07:37	07:49			08:09	08:09	08:31	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		1	150			{Calling pattern}	Maesteg	Ebbw Vale Parkway	Arriva Trains Wales			Maesteg (Ewenny Road), Garth, Tondu, Sarn, Wildmill, Bridgend, Pencoed, Pontyclun, Cardiff Central, Rogerstone, Risca & Pontymister, Cross Keys, Newbridge (Ebbw Vale), Llanhilleth, Ebbw Vale Parkway
2L43	Down		07:56		07:41	07:42	07:30	07:33	06:59	07:03	06:46	06:42	06:44				TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	2F53	1	142	Cheltenham		Forms: {Forms}	Cheltenham Spa	Maesteg	Arriva Trains Wales			Terminates here
2L43	Down		07:56		07:41	07:42	07:30	07:33	06:59	07:03	06:47	06:42	06:44				FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	2G54	1	142	Cheltenham		Forms: {Forms}	Cheltenham Spa	Maesteg	Arriva Trains Wales			Terminates here
2F53	Up			07:59	08:12	08:13	08:21	08:22	08:47								TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE		1	142			{Calling pattern}	Maesteg	Cardiff Central	Arriva Trains Wales			Maesteg (Ewenny Road), Garth, Tondu, Sarn, Wildmill, Bridgend, Pencoed, Pontyclun, Cardiff Central
2G54	Up			08:00	08:13	08:14	08:22	08:23	08:47	09:10	09:21						FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		1	142			{Calling pattern}	Maesteg	Cheltenham Spa	Arriva Trains Wales			Maesteg (Ewenny Road), Garth, Tondu, Sarn, Wildmill, Bridgend, Pencoed, Pontyclun, Cardiff Central
1V89	Down		09:13		08:59	08:58	08:47	08:50	08:18	08:21	08:05	08:00	08:03				TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	2G56	1	150	Shrewsbury		Forms: {Forms}	Shrewsbury	Maesteg	Arriva Trains Wales			Terminates here
1V49	Down		09:13		08:59	08:58	08:48	08:50	08:19	08:21	08:06	08:02	08:04				FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	2G56	1	158	Shrewsbury		Forms: {Forms}	Shrewsbury	Maesteg	Arriva Trains Wales			Terminates here
2G56	Up			09:16	09:29	09:30	09:38	09:39	10:06	10:09	10:20	10:23	10:27				TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE		1	142			{Calling pattern}	Maesteg	Cheltenham Spa	Arriva Trains Wales			Maesteg (Ewenny Road), Garth, Tondu, Sarn, Wildmill, Bridgend, Pencoed, Llanharan, Pontyclun, Cardiff Central, Newport, Severn Tunnel Junction, Caldicot, Chepstow, Gloucester, Cheltenham Spa
2G56	Up			09:17	09:30	09:31	09:38	09:39	10:06	10:10	10:11	10:13	10:15				FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		1	142			{Calling pattern}	Maesteg	Cheltenham Spa	Arriva Trains Wales			Maesteg (Ewenny Road), Garth, Tondu, Sarn, Wildmill, Bridgend, Pencoed, Llanharan, Pontyclun, Cardiff Central, Newport, Severn Tunnel Junction, Caldicot, Chepstow, Gloucester, Cheltenham Spa
2L47	Down		10:10		09:55	09:54	09:45	09:46	09:08	09:18	08:54	08:50	08:52				TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	2L52	1	142	Cheltenham		Forms: {Forms}	Cheltenham Spa	Maesteg	Arriva Trains Wales			Terminates here
2L52	Up			10:16	10:29	10:30	10:38	10:39	11:11								TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE		1	142			{Calling pattern}	Maesteg	Cardiff Central	Arriva Trains Wales			Maesteg (Ewenny Road), Garth, Tondu, Sarn, Wildmill, Bridgend, Pencoed, Llanharan, Pontyclun, Cardiff Central
