name	mean_cloud	long_amp	short_amp	noise_pp	p_clear	p_overcast	event_clear_strength	event_overcast_strength	event_duration_min	event_duration_max	clear_ceiling
South Wales - Early September	0.68	0.12	0.06	0.04	0.15	0.35	0.45	0.45	180	540	0.2
South East England - Late Summer	0.45	0.08	0.06	0.03	0.35	0.2	0.35	0.35	120	420	0.12
Scottish Highlands - Autumn	0.78	0.12	0.05	0.05	0.1	0.5	0.4	0.55	180	600	0.25
East Anglia - Spring	0.52	0.1	0.06	0.035	0.3	0.25	0.38	0.4	150	480	0.15
North West England - Winter	0.8	0.08	0.04	0.05	0.08	0.55	0.35	0.55	180	600	0.3
Cornwall - Midsummer	0.5	0.1	0.06	0.04	0.3	0.25	0.4	0.4	120	480	0.15
London - Spring	0.48	0.09	0.06	0.03	0.32	0.22	0.35	0.35	120	420	0.12
London - Autumn	0.58	0.1	0.05	0.035	0.2	0.35	0.38	0.45	150	480	0.18
Scottish Lowlands - Summer	0.55	0.1	0.06	0.035	0.28	0.3	0.35	0.42	150	480	0.18
Northern Ireland - Spring	0.56	0.1	0.06	0.04	0.25	0.32	0.36	0.42	150	480	0.18
Yorkshire - Late Autumn	0.7	0.11	0.05	0.045	0.12	0.45	0.35	0.5	180	540	0.22
Cumbria - Late Winter	0.76	0.09	0.04	0.05	0.1	0.52	0.34	0.52	180	600	0.28
Kent - Early Summer	0.46	0.08	0.06	0.03	0.36	0.2	0.34	0.34	120	420	0.12
London - Early March	0.55	0.09	0.05	0.035	0.25	0.3	0.36	0.42	150	480	0.15
London - February	0.62	0.08	0.04	0.04	0.18	0.4	0.34	0.48	180	540	0.2
London - Summer	0.42	0.07	0.06	0.03	0.38	0.18	0.32	0.32	120	420	0.12
London - Winter	0.75	0.08	0.04	0.05	0.1	0.5	0.34	0.52	180	600	0.28
Dalmuir - August	0.58	0.1	0.06	0.035	0.28	0.3	0.35	0.42	150	480	0.18
Portsmouth - July	0.44	0.08	0.06	0.03	0.36	0.2	0.34	0.34	120	420	0.12
East London - November	0.68	0.1	0.05	0.045	0.15	0.35	0.38	0.45	150	480	0.18
Warwickshire - June	0.46	0.08	0.06	0.03	0.36	0.2	0.34	0.34	120	420	0.12
Leeds - April	0.54	0.09	0.05	0.035	0.28	0.28	0.36	0.4	150	480	0.15
Manchester - October	0.66	0.1	0.05	0.045	0.18	0.38	0.36	0.46	150	480	0.2
Bristol - May	0.48	0.08	0.06	0.03	0.34	0.22	0.34	0.34	120	420	0.12
Cardiff - September	0.52	0.09	0.06	0.035	0.3	0.25	0.36	0.4	150	480	0.15
Glasgow - December	0.78	0.08	0.04	0.05	0.08	0.55	0.34	0.52	180	600	0.3
Edinburgh - March	0.58	0.09	0.05	0.035	0.26	0.3	0.36	0.42	150	480	0.18
Aberdeen - January	0.8	0.08	0.04	0.05	0.08	0.55	0.34	0.52	180	600	0.3
Cornwall - April	0.5	0.09	0.06	0.035	0.32	0.24	0.36	0.38	150	480	0.15
Somerset - July	0.44	0.08	0.06	0.03	0.36	0.2	0.34	0.34	120	420	0.12
