name	day	civil_dawn	sunrise	sunset	civil_dusk
Maesteg - 1st week of September	Monday	05:03	06:41	20:00	21:38
Maesteg - 1st week of September	Tuesday	05:05	06:42	19:58	21:36
Maesteg - 1st week of September	Wednesday	05:06	06:44	19:56	21:34
Maesteg - 1st week of September	Thursday	05:08	06:46	19:54	21:32
Maesteg - 1st week of September	Friday	05:10	06:47	19:52	21:30
Maesteg - 1st week of September	Saturday	05:12	06:49	19:51	21:27
Maesteg - 1st week of September	Sunday	05:14	06:50	19:49	21:25
South Wales - 3rd week of September	Monday	06:18	06:52	19:21	19:55
South Wales - 3rd week of September	Tuesday	06:20	06:53	19:19	19:52
South Wales - 3rd week of September	Wednesday	06:21	06:55	19:17	19:50
South Wales - 3rd week of September	Thursday	06:23	06:56	19:14	19:48
South Wales - 3rd week of September	Friday	06:25	06:58	19:12	19:45
South Wales - 3rd week of September	Saturday	06:26	07:00	19:10	19:43
South Wales - 3rd week of September	Sunday	06:28	07:01	19:07	19:41
South East England - 3rd week of August	Monday	05:18	05:55	20:12	20:48
South East England - 3rd week of August	Tuesday	05:20	05:56	20:10	20:46
South East England - 3rd week of August	Wednesday	05:22	05:58	20:07	20:44
South East England - 3rd week of August	Thursday	05:24	06:00	20:05	20:41
South East England - 3rd week of August	Friday	05:25	06:01	20:03	20:39
South East England - 3rd week of August	Saturday	05:27	06:03	20:01	20:37
South East England - 3rd week of August	Sunday	05:29	06:04	19:59	20:34
Scottish Highlands - 2nd week of October	Monday	06:58	07:37	18:30	19:09
Scottish Highlands - 2nd week of October	Tuesday	07:00	07:39	18:28	19:06
Scottish Highlands - 2nd week of October	Wednesday	07:02	07:41	18:25	19:04
Scottish Highlands - 2nd week of October	Thursday	07:05	07:43	18:22	19:01
Scottish Highlands - 2nd week of October	Friday	07:07	07:46	18:20	18:59
Scottish Highlands - 2nd week of October	Saturday	07:09	07:48	18:17	18:56
Scottish Highlands - 2nd week of October	Sunday	07:11	07:50	18:14	18:53
East Anglia - 2nd week of April	Monday	05:33	06:09	19:44	20:20
East Anglia - 2nd week of April	Tuesday	05:31	06:07	19:46	20:22
East Anglia - 2nd week of April	Wednesday	05:29	06:05	19:48	20:24
East Anglia - 2nd week of April	Thursday	05:26	06:02	19:50	20:26
East Anglia - 2nd week of April	Friday	05:24	06:00	19:51	20:28
East Anglia - 2nd week of April	Saturday	05:21	05:58	19:53	20:30
East Anglia - 2nd week of April	Sunday	05:19	05:56	19:55	20:32
North West England - 2nd week of January	Monday	07:40	08:22	16:11	16:52
North West England - 2nd week of January	Tuesday	07:40	08:22	16:12	16:54
North West England - 2nd week of January	Wednesday	07:39	08:21	16:14	16:55
North West England - 2nd week of January	Thursday	07:39	08:20	16:15	16:56
North West England - 2nd week of January	Friday	07:38	08:19	16:17	16:58
North West England - 2nd week of January	Saturday	07:37	08:18	16:18	16:59
North West England - 2nd week of January	Sunday	07:37	08:18	16:20	17:01
Cornwall - 3rd week of June	Monday	04:24	05:09	21:34	22:19
Cornwall - 3rd week of June	Tuesday	04:24	05:09	21:34	22:19
Cornwall - 3rd week of June	Wednesday	04:24	05:09	21:34	22:20
Cornwall - 3rd week of June	Thursday	04:24	05:10	21:35	22:20
Cornwall - 3rd week of June	Friday	04:25	05:10	21:35	22:20
Cornwall - 3rd week of June	Saturday	04:25	05:10	21:35	22:20
Cornwall - 3rd week of June	Sunday	04:25	05:11	21:35	22:20
London - 2nd week of April	Monday	05:42	06:17	19:48	20:23
London - 2nd week of April	Tuesday	05:40	06:14	19:50	20:25
London - 2nd week of April	Wednesday	05:37	06:12	19:52	20:27
London - 2nd week of April	Thursday	05:35	06:10	19:53	20:28
London - 2nd week of April	Friday	05:33	06:08	19:55	20:30
London - 2nd week of April	Saturday	05:30	06:06	19:57	20:32
London - 2nd week of April	Sunday	05:28	06:04	19:58	20:34
London - 2nd week of October	Monday	06:40	07:14	18:21	18:55
London - 2nd week of October	Tuesday	06:42	07:15	18:19	18:52
London - 2nd week of October	Wednesday	06:44	07:17	18:17	18:50
London - 2nd week of October	Thursday	06:45	07:19	18:15	18:48
London - 2nd week of October	Friday	06:47	07:20	18:12	18:46
London - 2nd week of October	Saturday	06:48	07:22	18:10	18:44
London - 2nd week of October	Sunday	06:50	07:24	18:08	18:42
Scottish Lowlands - 2nd week of July	Monday	03:42	04:41	21:55	22:53
Scottish Lowlands - 2nd week of July	Tuesday	03:44	04:42	21:54	22:51
Scottish Lowlands - 2nd week of July	Wednesday	03:46	04:43	21:53	22:50
Scottish Lowlands - 2nd week of July	Thursday	03:48	04:45	21:52	22:48
Scottish Lowlands - 2nd week of July	Friday	03:50	04:46	21:50	22:47
Scottish Lowlands - 2nd week of July	Saturday	03:51	04:47	21:49	22:45
Scottish Lowlands - 2nd week of July	Sunday	03:53	04:49	21:48	22:43
Northern Ireland - 2nd week of April	Monday	05:57	06:35	20:17	20:55
Northern Ireland - 2nd week of April	Tuesday	05:54	06:32	20:19	20:57
Northern Ireland - 2nd week of April	Wednesday	05:52	06:30	20:21	20:59
Northern Ireland - 2nd week of April	Thursday	05:49	06:27	20:23	21:01
Northern Ireland - 2nd week of April	Friday	05:46	06:25	20:24	21:03
Northern Ireland - 2nd week of April	Saturday	05:44	06:22	20:26	21:05
Northern Ireland - 2nd week of April	Sunday	05:41	06:20	20:28	21:07
Yorkshire - 2nd week of October	Monday	06:47	07:22	18:24	19:00
Yorkshire - 2nd week of October	Tuesday	06:48	07:24	18:22	18:57
Yorkshire - 2nd week of October	Wednesday	06:50	07:25	18:20	18:55
Yorkshire - 2nd week of October	Thursday	06:52	07:27	18:17	18:53
Yorkshire - 2nd week of October	Friday	06:54	07:29	18:15	18:50
Yorkshire - 2nd week of October	Saturday	06:56	07:31	18:12	18:48
Yorkshire - 2nd week of October	Sunday	06:57	07:33	18:10	18:46
Cumbria - 2nd week of January	Monday	07:49	08:33	16:06	16:49
Cumbria - 2nd week of January	Tuesday	07:48	08:32	16:07	16:51
Cumbria - 2nd week of January	Wednesday	07:48	08:31	16:09	16:52
Cumbria - 2nd week of January	Thursday	07:47	08:30	16:10	16:54
Cumbria - 2nd week of January	Friday	07:46	08:29	16:12	16:55
Cumbria - 2nd week of January	Saturday	07:45	08:28	16:14	16:57
Cumbria - 2nd week of January	Sunday	07:45	08:27	16:16	16:58
Kent - 1st week of June	Monday	03:59	04:45	21:08	21:54
Kent - 1st week of June	Tuesday	03:59	04:44	21:09	21:55
Kent - 1st week of June	Wednesday	03:58	04:44	21:10	21:56
Kent - 1st week of June	Thursday	03:57	04:43	21:11	21:57
Kent - 1st week of June	Friday	03:57	04:43	21:11	21:58
Kent - 1st week of June	Saturday	03:56	04:43	21:12	21:59
Kent - 1st week of June	Sunday	03:56	04:42	21:13	22:00
London - 4th week of March	Monday	06:17	06:51	17:37	18:10
London - 4th week of March	Tuesday	06:15	06:49	17:38	18:12
London - 4th week of March	Wednesday	06:13	06:47	17:40	18:14
London - 4th week of March	Thursday	06:11	06:45	17:42	18:16
London - 4th week of March	Friday	06:09	06:42	17:44	18:17
London - 4th week of March	Saturday	06:07	06:40	17:46	18:19
London - 4th week of March	Sunday	06:05	06:38	17:47	18:21
London - 2nd week of February	Monday	06:44	07:19	17:11	17:46
London - 2nd week of February	Tuesday	06:42	07:17	17:13	17:48
London - 2nd week of February	Wednesday	06:41	07:15	17:15	17:50
London - 2nd week of February	Thursday	06:39	07:13	17:17	17:51
London - 2nd week of February	Friday	06:37	07:11	17:19	17:53
London - 2nd week of February	Saturday	06:35	07:09	17:21	17:55
London - 2nd week of February	Sunday	06:33	07:07	17:22	17:57
London - 2nd week of July	Monday	04:09	04:55	21:16	22:02
London - 2nd week of July	Tuesday	04:10	04:56	21:15	22:01
London - 2nd week of July	Wednesday	04:12	04:57	21:15	22:00
London - 2nd week of July	Thursday	04:13	04:58	21:14	21:59
London - 2nd week of July	Friday	04:14	04:59	21:13	21:58
London - 2nd week of July	Saturday	04:16	05:00	21:12	21:56
London - 2nd week of July	Sunday	04:17	05:02	21:11	21:55
London - 2nd week of January	Monday	07:25	08:04	16:12	16:51
London - 2nd week of January	Tuesday	07:24	08:03	16:13	16:52
London - 2nd week of January	Wednesday	07:24	08:03	16:15	16:54
London - 2nd week of January	Thursday	07:23	08:02	16:16	16:55
London - 2nd week of January	Friday	07:23	08:01	16:18	16:56
London - 2nd week of January	Saturday	07:22	08:01	16:19	16:58
London - 2nd week of January	Sunday	07:21	08:00	16:21	16:59
Dalmuir - 2nd week of August	Monday	05:02	05:46	20:57	21:41
Dalmuir - 2nd week of August	Tuesday	05:05	05:48	20:55	21:38
Dalmuir - 2nd week of August	Wednesday	05:07	05:50	20:53	21:36
Dalmuir - 2nd week of August	Thursday	05:09	05:52	20:50	21:33
Dalmuir - 2nd week of August	Friday	05:11	05:54	20:48	21:30
Dalmuir - 2nd week of August	Saturday	05:14	05:56	20:46	21:28
Dalmuir - 2nd week of August	Sunday	05:16	05:58	20:43	21:25
Portsmouth - 2nd week of July	Monday	04:18	05:02	21:17	22:01
Portsmouth - 2nd week of July	Tuesday	04:19	05:03	21:16	22:00
Portsmouth - 2nd week of July	Wednesday	04:20	05:04	21:15	21:59
Portsmouth - 2nd week of July	Thursday	04:21	05:05	21:14	21:58
Portsmouth - 2nd week of July	Friday	04:23	05:06	21:13	21:57
Portsmouth - 2nd week of July	Saturday	04:24	05:08	21:12	21:56
Portsmouth - 2nd week of July	Sunday	04:25	05:09	21:11	21:55
East London - 2nd week of November	Monday	06:37	07:14	16:14	16:50
East London - 2nd week of November	Tuesday	06:39	07:15	16:12	16:49
East London - 2nd week of November	Wednesday	06:40	07:17	16:11	16:48
East London - 2nd week of November	Thursday	06:42	07:19	16:09	16:47
East London - 2nd week of November	Friday	06:43	07:21	16:08	16:45
East London - 2nd week of November	Saturday	06:45	07:22	16:07	16:44
East London - 2nd week of November	Sunday	06:46	07:24	16:06	16:43
Warwickshire - 2nd week of June	Monday	03:56	04:45	21:28	22:17
Warwickshire - 2nd week of June	Tuesday	03:55	04:45	21:28	22:18
Warwickshire - 2nd week of June	Wednesday	03:55	04:44	21:29	22:18
Warwickshire - 2nd week of June	Thursday	03:55	04:44	21:30	22:19
Warwickshire - 2nd week of June	Friday	03:55	04:44	21:30	22:19
Warwickshire - 2nd week of June	Saturday	03:55	04:44	21:30	22:20
Warwickshire - 2nd week of June	Sunday	03:54	04:44	21:31	22:20
Leeds - 2nd week of April	Monday	05:42	06:19	19:58	20:35
Leeds - 2nd week of April	Tuesday	05:39	06:16	20:00	20:37
Leeds - 2nd week of April	Wednesday	05:37	06:14	20:02	20:39
Leeds - 2nd week of April	Thursday	05:34	06:11	20:03	20:41
Leeds - 2nd week of April	Friday	05:32	06:09	20:05	20:43
Leeds - 2nd week of April	Saturday	05:29	06:07	20:07	20:45
Leeds - 2nd week of April	Sunday	05:27	06:04	20:09	20:47
Manchester - 2nd week of October	Monday	06:49	07:24	18:27	19:02
Manchester - 2nd week of October	Tuesday	06:51	07:26	18:25	19:00
Manchester - 2nd week of October	Wednesday	06:53	07:28	18:23	18:58
Manchester - 2nd week of October	Thursday	06:55	07:30	18:20	18:55
Manchester - 2nd week of October	Friday	06:56	07:31	18:18	18:53
Manchester - 2nd week of October	Saturday	06:58	07:33	18:16	18:51
Manchester - 2nd week of October	Sunday	07:00	07:35	18:13	18:49
Bristol - 3rd week of May	Monday	04:38	05:19	20:55	21:36
Bristol - 3rd week of May	Tuesday	04:36	05:18	20:56	21:38
Bristol - 3rd week of May	Wednesday	04:35	05:16	20:58	21:40
Bristol - 3rd week of May	Thursday	04:33	05:15	20:59	21:41
Bristol - 3rd week of May	Friday	04:31	05:14	21:01	21:43
Bristol - 3rd week of May	Saturday	04:30	05:12	21:02	21:45
Bristol - 3rd week of May	Sunday	04:28	05:11	21:04	21:46
Cardiff - 2nd week of September	Monday	06:07	06:41	19:37	20:11
Cardiff - 2nd week of September	Tuesday	06:08	06:42	19:35	20:09
Cardiff - 2nd week of September	Wednesday	06:10	06:44	19:33	20:06
Cardiff - 2nd week of September	Thursday	06:12	06:45	19:30	20:04
Cardiff - 2nd week of September	Friday	06:13	06:47	19:28	20:02
Cardiff - 2nd week of September	Saturday	06:15	06:48	19:26	19:59
Cardiff - 2nd week of September	Sunday	06:17	06:50	19:24	19:57
Glasgow - 2nd week of December	Monday	07:50	08:37	15:43	16:30
Glasgow - 2nd week of December	Tuesday	07:51	08:38	15:43	16:30
Glasgow - 2nd week of December	Wednesday	07:52	08:39	15:43	16:30
Glasgow - 2nd week of December	Thursday	07:53	08:40	15:43	16:30
Glasgow - 2nd week of December	Friday	07:54	08:41	15:43	16:30
Glasgow - 2nd week of December	Saturday	07:55	08:42	15:43	16:30
Glasgow - 2nd week of December	Sunday	07:56	08:43	15:43	16:30
Edinburgh - 2nd week of March	Monday	05:58	06:34	18:11	18:48
Edinburgh - 2nd week of March	Tuesday	05:55	06:32	18:14	18:50
Edinburgh - 2nd week of March	Wednesday	05:52	06:29	18:16	18:53
Edinburgh - 2nd week of March	Thursday	05:50	06:27	18:18	18:55
Edinburgh - 2nd week of March	Friday	05:47	06:24	18:20	18:57
Edinburgh - 2nd week of March	Saturday	05:44	06:21	18:22	18:59
Edinburgh - 2nd week of March	Sunday	05:42	06:19	18:24	19:01
Aberdeen - 2nd week of January	Monday	07:55	08:43	15:48	16:36
Aberdeen - 2nd week of January	Tuesday	07:55	08:42	15:50	16:38
Aberdeen - 2nd week of January	Wednesday	07:54	08:41	15:52	16:39
Aberdeen - 2nd week of January	Thursday	07:53	08:40	15:54	16:41
Aberdeen - 2nd week of January	Friday	07:52	08:39	15:56	16:43
Aberdeen - 2nd week of January	Saturday	07:51	08:38	15:57	16:44
Aberdeen - 2nd week of January	Sunday	07:50	08:37	15:59	16:46
Cornwall - 2nd week of April	Monday	06:04	06:38	20:06	20:40
Cornwall - 2nd week of April	Tuesday	06:02	06:36	20:08	20:42
Cornwall - 2nd week of April	Wednesday	06:00	06:34	20:09	20:43
Cornwall - 2nd week of April	Thursday	05:58	06:32	20:11	20:45
Cornwall - 2nd week of April	Friday	05:56	06:30	20:12	20:47
Cornwall - 2nd week of April	Saturday	05:53	06:28	20:14	20:48
Cornwall - 2nd week of April	Sunday	05:51	06:26	20:16	20:50
Somerset - 2nd week of July	Monday	04:25	05:09	21:26	22:10
Somerset - 2nd week of July	Tuesday	04:26	05:10	21:25	22:09
Somerset - 2nd week of July	Wednesday	04:27	05:11	21:24	22:08
Somerset - 2nd week of July	Thursday	04:28	05:12	21:23	22:07
Somerset - 2nd week of July	Friday	04:30	05:14	21:22	22:06
Somerset - 2nd week of July	Saturday	04:31	05:15	21:21	22:05
Somerset - 2nd week of July	Sunday	04:32	05:16	21:20	22:04
Norfolk - 2nd week of October	Monday	06:35	07:09	18:14	18:48
Norfolk - 2nd week of October	Tuesday	06:37	07:11	18:12	18:46
Norfolk - 2nd week of October	Wednesday	06:38	07:13	18:10	18:44
Norfolk - 2nd week of October	Thursday	06:40	07:14	18:07	18:42
Norfolk - 2nd week of October	Friday	06:42	07:16	18:05	18:40
Norfolk - 2nd week of October	Saturday	06:43	07:18	18:03	18:37
Norfolk - 2nd week of October	Sunday	06:45	07:20	18:01	18:35
Swansea - 2nd week of August	Monday	05:21	05:59	20:41	21:19
Swansea - 2nd week of August	Tuesday	05:22	06:00	20:39	21:17
Swansea - 2nd week of August	Wednesday	05:24	06:02	20:37	21:15
Swansea - 2nd week of August	Thursday	05:26	06:03	20:35	21:13
Swansea - 2nd week of August	Friday	05:28	06:05	20:33	21:10
Swansea - 2nd week of August	Saturday	05:30	06:07	20:31	21:08
Swansea - 2nd week of August	Sunday	05:31	06:08	20:29	21:06
Isle of Wight - 2nd week of June	Monday	04:07	04:52	21:18	22:03
Isle of Wight - 2nd week of June	Tuesday	04:06	04:52	21:18	22:04
Isle of Wight - 2nd week of June	Wednesday	04:06	04:52	21:19	22:05
Isle of Wight - 2nd week of June	Thursday	04:06	04:52	21:20	22:05
Isle of Wight - 2nd week of June	Friday	04:06	04:52	21:20	22:06
Isle of Wight - 2nd week of June	Saturday	04:06	04:52	21:20	22:06
Isle of Wight - 2nd week of June	Sunday	04:06	04:52	21:21	22:07
Brighton - 4th week of May	Monday	04:21	05:03	20:52	21:34
Brighton - 4th week of May	Tuesday	04:19	05:01	20:54	21:36
Brighton - 4th week of May	Wednesday	04:18	05:00	20:55	21:38
Brighton - 4th week of May	Thursday	04:17	04:59	20:56	21:39
Brighton - 4th week of May	Friday	04:15	04:58	20:57	21:40
Brighton - 4th week of May	Saturday	04:14	04:57	20:59	21:42
Brighton - 4th week of May	Sunday	04:13	04:56	21:00	21:43
Oxford - 1st week of October	Monday	06:33	07:07	18:41	19:15
Oxford - 1st week of October	Tuesday	06:35	07:08	18:39	19:12
Oxford - 1st week of October	Wednesday	06:37	07:10	18:37	19:10
Oxford - 1st week of October	Thursday	06:38	07:12	18:34	19:08
Oxford - 1st week of October	Friday	06:40	07:13	18:32	19:06
Oxford - 1st week of October	Saturday	06:42	07:15	18:30	19:03
Oxford - 1st week of October	Sunday	06:43	07:17	18:28	19:01
Cambridge - 2nd week of March	Monday	05:46	06:19	18:00	18:34
Cambridge - 2nd week of March	Tuesday	05:43	06:17	18:02	18:35
Cambridge - 2nd week of March	Wednesday	05:41	06:15	18:03	18:37
Cambridge - 2nd week of March	Thursday	05:39	06:13	18:05	18:39
Cambridge - 2nd week of March	Friday	05:36	06:10	18:07	18:41
Cambridge - 2nd week of March	Saturday	05:34	06:08	18:09	18:42
Cambridge - 2nd week of March	Sunday	05:32	06:06	18:10	18:44
Liverpool - 3rd week of November	Monday	07:06	07:46	16:09	16:49
Liverpool - 3rd week of November	Tuesday	07:08	07:47	16:07	16:47
Liverpool - 3rd week of November	Wednesday	07:09	07:49	16:06	16:46
Liverpool - 3rd week of November	Thursday	07:11	07:51	16:05	16:45
Liverpool - 3rd week of November	Friday	07:12	07:53	16:04	16:44
Liverpool - 3rd week of November	Saturday	07:14	07:54	16:03	16:43
Liverpool - 3rd week of November	Sunday	07:15	07:56	16:02	16:43
Newcastle - 1st week of December	Monday	07:27	08:11	15:41	16:26
Newcastle - 1st week of December	Tuesday	07:29	08:13	15:41	16:25
Newcastle - 1st week of December	Wednesday	07:30	08:14	15:40	16:25
Newcastle - 1st week of December	Thursday	07:31	08:16	15:40	16:24
Newcastle - 1st week of December	Friday	07:32	08:17	15:39	16:24
Newcastle - 1st week of December	Saturday	07:33	08:18	15:39	16:24
Newcastle - 1st week of December	Sunday	07:35	08:19	15:39	16:23
Bath - 2nd week of July	Monday	04:19	05:05	21:24	22:10
Bath - 2nd week of July	Tuesday	04:20	05:06	21:24	22:09
Bath - 2nd week of July	Wednesday	04:21	05:07	21:23	22:08
Bath - 2nd week of July	Thursday	04:23	05:08	21:22	22:07
Bath - 2nd week of July	Friday	04:24	05:09	21:21	22:06
Bath - 2nd week of July	Saturday	04:25	05:10	21:20	22:05
Bath - 2nd week of July	Sunday	04:27	05:11	21:19	22:03
Exeter - 1st week of June	Monday	04:19	05:04	21:21	22:06
Exeter - 1st week of June	Tuesday	04:19	05:03	21:22	22:07
Exeter - 1st week of June	Wednesday	04:18	05:03	21:23	22:08
Exeter - 1st week of June	Thursday	04:17	05:02	21:24	22:09
Exeter - 1st week of June	Friday	04:17	05:02	21:25	22:10
Exeter - 1st week of June	Saturday	04:16	05:02	21:26	22:11
Exeter - 1st week of June	Sunday	04:16	05:01	21:26	22:12
Hull - 4th week of April	Monday	05:02	05:42	20:19	20:58
Hull - 4th week of April	Tuesday	05:00	05:39	20:20	21:00
Hull - 4th week of April	Wednesday	04:57	05:37	20:22	21:02
Hull - 4th week of April	Thursday	04:55	05:35	20:24	21:04
Hull - 4th week of April	Friday	04:53	05:33	20:26	21:06
Hull - 4th week of April	Saturday	04:50	05:31	20:28	21:08
Hull - 4th week of April	Sunday	04:48	05:29	20:30	21:10
Chester - 2nd week of August	Monday	05:10	05:50	20:42	21:22
Chester - 2nd week of August	Tuesday	05:12	05:51	20:40	21:19
Chester - 2nd week of August	Wednesday	05:14	05:53	20:38	21:17
Chester - 2nd week of August	Thursday	05:16	05:55	20:36	21:15
Chester - 2nd week of August	Friday	05:17	05:56	20:33	21:12
Chester - 2nd week of August	Saturday	05:19	05:58	20:31	21:10
Chester - 2nd week of August	Sunday	05:21	06:00	20:29	21:08
Canterbury - 1st week of September	Monday	05:38	06:13	19:36	20:10
Canterbury - 1st week of September	Tuesday	05:40	06:14	19:34	20:08
Canterbury - 1st week of September	Wednesday	05:42	06:16	19:31	20:06
